state,aqi,density
Pulau Pinang,14.75,0.0046638839530374
Pulau Pinang,15.35,0.0052218438003415
Pulau Pinang,15.95,0.0057804795749623
Pulau Pinang,16.55,0.0063419451170286
Pulau Pinang,17.15,0.0069176223736987
Pulau Pinang,17.74,0.0075195835873365
Pulau Pinang,18.34,0.0081349565586877
Pulau Pinang,18.94,0.0087200364148826
Pulau Pinang,19.54,0.0092326901091492
Pulau Pinang,20.14,0.0096666888944524
Pulau Pinang,20.73,0.0100488576836592
Pulau Pinang,21.33,0.010413604440778
Pulau Pinang,21.93,0.0107910148156525
Pulau Pinang,22.53,0.0112098429858982
Pulau Pinang,23.13,0.0116902515393583
Pulau Pinang,23.72,0.0122182483914363
Pulau Pinang,24.32,0.0127296223975991
Pulau Pinang,24.92,0.0131414904756826
Pulau Pinang,25.52,0.0134207975153414
Pulau Pinang,26.12,0.0136169015330194
Pulau Pinang,26.71,0.0138142673045251
Pulau Pinang,27.31,0.0140622090053726
Pulau Pinang,27.91,0.014361612299949
Pulau Pinang,28.51,0.0147024376340699
Pulau Pinang,29.11,0.0150850036251233
Pulau Pinang,29.7,0.0154961470434603
Pulau Pinang,30.3,0.0158798784846324
Pulau Pinang,30.9,0.0161555795981016
Pulau Pinang,31.5,0.0162821415453518
Pulau Pinang,32.1,0.0163049159425456
Pulau Pinang,32.69,0.0163318293935914
Pulau Pinang,33.29,0.016460486426861
Pulau Pinang,33.89,0.0167242439201906
Pulau Pinang,34.49,0.0170894905243144
Pulau Pinang,35.09,0.0174815479525284
Pulau Pinang,35.68,0.0178153380576213
Pulau Pinang,36.28,0.0180312040220922
Pulau Pinang,36.88,0.0181250919323531
Pulau Pinang,37.48,0.0181436987102714
Pulau Pinang,38.08,0.0181451425115395
Pulau Pinang,38.67,0.0181649640118408
Pulau Pinang,39.27,0.0182126151702593
Pulau Pinang,39.87,0.0182830206815738
Pulau Pinang,40.47,0.0183592023775838
Pulau Pinang,41.07,0.01840558741875
Pulau Pinang,41.66,0.0183729678999974
Pulau Pinang,42.26,0.0182269727884066
Pulau Pinang,42.86,0.017976578203568
Pulau Pinang,43.46,0.0176678019759048
Pulau Pinang,44.06,0.0173487458489568
Pulau Pinang,44.65,0.0170480561030358
Pulau Pinang,45.25,0.0167835857507073
Pulau Pinang,45.85,0.0165744765275708
Pulau Pinang,46.45,0.0164360552721764
Pulau Pinang,47.05,0.0163789573606611
Pulau Pinang,47.64,0.0164467010434702
Pulau Pinang,48.24,0.0167859161507586
Pulau Pinang,48.84,0.0176875533010131
Pulau Pinang,49.44,0.0195175784609466
Pulau Pinang,50.04,0.0225090403863198
Pulau Pinang,50.63,0.0265120945853901
Pulau Pinang,51.23,0.0309040189387033
Pulau Pinang,51.83,0.0348018503109106
