shapeISO,state,aqi,date,shapeISO.1
MY-14,Wilayah Persekutuan,41.86,2007-09-01,null
MY-14,Wilayah Persekutuan,37.92,2007-10-01,null
MY-14,Wilayah Persekutuan,37.01,2007-11-01,null
MY-14,Wilayah Persekutuan,33.11,2007-12-01,null
MY-14,Wilayah Persekutuan,36.38,2008-01-01,null
MY-14,Wilayah Persekutuan,43.85,2008-02-01,null
MY-14,Wilayah Persekutuan,35.33,2008-03-01,null
MY-14,Wilayah Persekutuan,39.27,2008-04-01,null
MY-14,Wilayah Persekutuan,45.8,2008-05-01,null
MY-14,Wilayah Persekutuan,41.24,2008-06-01,null
MY-14,Wilayah Persekutuan,38.49,2008-07-01,null
MY-14,Wilayah Persekutuan,43.53,2008-08-01,null
MY-14,Wilayah Persekutuan,38.92,2008-09-01,null
MY-14,Wilayah Persekutuan,33.86,2008-10-01,null
MY-14,Wilayah Persekutuan,34.81,2008-11-01,null
MY-14,Wilayah Persekutuan,37.61,2008-12-01,null
MY-14,Wilayah Persekutuan,38.89,2009-01-01,null
MY-14,Wilayah Persekutuan,48.56,2009-02-01,null
MY-14,Wilayah Persekutuan,41.97,2009-03-01,null
MY-14,Wilayah Persekutuan,41.29,2009-04-01,null
MY-14,Wilayah Persekutuan,45.09,2009-05-01,null
MY-14,Wilayah Persekutuan,54.46,2009-06-01,null
MY-14,Wilayah Persekutuan,55.3,2009-07-01,null
MY-14,Wilayah Persekutuan,49.51,2009-08-01,null
MY-14,Wilayah Persekutuan,45.5,2009-09-01,null
MY-14,Wilayah Persekutuan,40.6,2009-10-01,null
MY-14,Wilayah Persekutuan,32.05,2009-11-01,null
MY-14,Wilayah Persekutuan,33.43,2009-12-01,null
MY-14,Wilayah Persekutuan,37.55,2010-01-01,null
MY-14,Wilayah Persekutuan,46.61,2010-02-01,null
MY-14,Wilayah Persekutuan,47.24,2010-03-01,null
MY-14,Wilayah Persekutuan,43.08,2010-04-01,null
MY-14,Wilayah Persekutuan,44.24,2010-05-01,null
MY-14,Wilayah Persekutuan,44.74,2010-06-01,null
MY-14,Wilayah Persekutuan,43.78,2010-07-01,null
MY-14,Wilayah Persekutuan,43.2,2010-08-01,null
MY-14,Wilayah Persekutuan,43.04,2010-09-01,null
MY-14,Wilayah Persekutuan,44.44,2010-10-01,null
MY-14,Wilayah Persekutuan,38.33,2010-11-01,null
MY-14,Wilayah Persekutuan,35.78,2010-12-01,null
MY-14,Wilayah Persekutuan,38.47,2011-01-01,null
MY-14,Wilayah Persekutuan,48.53,2011-02-01,null
MY-14,Wilayah Persekutuan,41.84,2011-03-01,null
MY-14,Wilayah Persekutuan,45.54,2011-04-01,null
MY-14,Wilayah Persekutuan,42.28,2011-05-01,null
MY-14,Wilayah Persekutuan,48.54,2011-06-01,null
MY-14,Wilayah Persekutuan,53.18,2011-07-01,null
MY-14,Wilayah Persekutuan,46.9,2011-08-01,null
MY-14,Wilayah Persekutuan,50.32,2011-09-01,null
MY-14,Wilayah Persekutuan,38.98,2011-10-01,null
MY-14,Wilayah Persekutuan,33.8,2011-11-01,null
MY-14,Wilayah Persekutuan,36.9,2011-12-01,null
MY-14,Wilayah Persekutuan,38.33,2012-01-01,null
MY-14,Wilayah Persekutuan,38.88,2012-02-01,null
MY-14,Wilayah Persekutuan,42.74,2012-03-01,null
MY-14,Wilayah Persekutuan,41.5,2012-04-01,null
MY-14,Wilayah Persekutuan,42.56,2012-05-01,null
MY-14,Wilayah Persekutuan,55.09,2012-06-01,null
MY-14,Wilayah Persekutuan,43.04,2012-07-01,null
MY-14,Wilayah Persekutuan,51.94,2012-08-01,null
MY-14,Wilayah Persekutuan,50.52,2012-09-01,null
MY-14,Wilayah Persekutuan,42.18,2012-10-01,null
MY-14,Wilayah Persekutuan,36.04,2012-11-01,null
MY-14,Wilayah Persekutuan,38.2,2012-12-01,null
MY-14,Wilayah Persekutuan,43.2,2013-01-01,null
MY-14,Wilayah Persekutuan,38.46,2013-02-01,null
MY-14,Wilayah Persekutuan,44.66,2013-03-01,null
MY-14,Wilayah Persekutuan,41.07,2013-04-01,null
MY-14,Wilayah Persekutuan,39.6,2013-05-01,null
MY-14,Wilayah Persekutuan,73.76,2013-06-01,null
MY-14,Wilayah Persekutuan,47.88,2013-07-01,null
MY-14,Wilayah Persekutuan,45.5,2013-08-01,null
MY-14,Wilayah Persekutuan,40.22,2013-09-01,null
MY-14,Wilayah Persekutuan,36.58,2013-10-01,null
MY-14,Wilayah Persekutuan,33.53,2013-11-01,null
MY-14,Wilayah Persekutuan,30.66,2013-12-01,null
MY-14,Wilayah Persekutuan,33.84,2014-01-01,null
MY-14,Wilayah Persekutuan,46.4,2014-02-01,null
MY-14,Wilayah Persekutuan,59.84,2014-03-01,null
MY-14,Wilayah Persekutuan,41.34,2014-04-01,null
MY-14,Wilayah Persekutuan,35.31,2014-05-01,null
MY-14,Wilayah Persekutuan,47.12,2014-06-01,null
MY-14,Wilayah Persekutuan,52.36,2014-07-01,null
MY-14,Wilayah Persekutuan,36.72,2014-08-01,null
MY-14,Wilayah Persekutuan,48.7,2014-09-01,null
MY-14,Wilayah Persekutuan,49.05,2014-10-01,null
MY-14,Wilayah Persekutuan,35.08,2014-11-01,null
MY-14,Wilayah Persekutuan,39.23,2014-12-01,null
MY-14,Wilayah Persekutuan,42.11,2015-01-01,null
MY-14,Wilayah Persekutuan,42.28,2015-02-01,null
MY-14,Wilayah Persekutuan,49.86,2015-03-01,null
MY-14,Wilayah Persekutuan,44.29,2015-04-01,null
MY-14,Wilayah Persekutuan,44.71,2015-05-01,null
MY-14,Wilayah Persekutuan,45.86,2015-06-01,null
MY-14,Wilayah Persekutuan,41.73,2017-01-01,null
MY-14,Wilayah Persekutuan,42.01,2017-02-01,null
MY-14,Wilayah Persekutuan,44.95,2017-03-01,null
MY-14,Wilayah Persekutuan,37.63,2017-04-01,null
MY-14,Wilayah Persekutuan,30.44,2017-05-01,null
MY-14,Wilayah Persekutuan,33.21,2017-06-01,null
MY-14,Wilayah Persekutuan,30.91,2017-07-01,null
MY-14,Wilayah Persekutuan,29.38,2017-08-01,null
MY-14,Wilayah Persekutuan,27.11,2017-09-01,null
MY-14,Wilayah Persekutuan,29.32,2017-10-01,null
MY-14,Wilayah Persekutuan,25.35,2017-11-01,null
MY-14,Wilayah Persekutuan,26.0,2017-12-01,null
MY-14,Wilayah Persekutuan,25.18,2018-01-01,null
MY-14,Wilayah Persekutuan,28.16,2018-02-01,null
MY-14,Wilayah Persekutuan,27.83,2018-03-01,null
MY-14,Wilayah Persekutuan,29.35,2018-04-01,null
MY-14,Wilayah Persekutuan,27.81,2018-05-01,null
MY-14,Wilayah Persekutuan,30.06,2018-06-01,null
MY-14,Wilayah Persekutuan,32.28,2018-07-01,null
MY-14,Wilayah Persekutuan,50.14,2018-08-01,null
MY-14,Wilayah Persekutuan,58.32,2018-09-01,null
MY-14,Wilayah Persekutuan,54.41,2018-10-01,null
MY-14,Wilayah Persekutuan,48.85,2018-11-01,null
MY-14,Wilayah Persekutuan,48.1,2018-12-01,null
MY-14,Wilayah Persekutuan,48.5,2019-01-01,null
MY-14,Wilayah Persekutuan,55.4,2019-02-01,null
MY-14,Wilayah Persekutuan,62.22,2019-03-01,null
MY-14,Wilayah Persekutuan,58.28,2019-04-01,null
MY-14,Wilayah Persekutuan,54.36,2019-05-01,null
MY-14,Wilayah Persekutuan,50.74,2019-06-01,null
MY-14,Wilayah Persekutuan,58.44,2019-07-01,null
MY-14,Wilayah Persekutuan,68.83,2019-08-01,null
MY-14,Wilayah Persekutuan,99.59,2019-09-01,null
MY-14,Wilayah Persekutuan,55.77,2019-10-01,null
MY-14,Wilayah Persekutuan,55.7,2019-11-01,null
MY-14,Wilayah Persekutuan,50.05,2019-12-01,null
MY-14,Wilayah Persekutuan,51.15,2020-01-01,null
MY-14,Wilayah Persekutuan,50.38,2020-02-01,null
MY-14,Wilayah Persekutuan,54.66,2020-03-01,null
MY-14,Wilayah Persekutuan,49.51,2020-04-01,null
MY-14,Wilayah Persekutuan,50.1,2020-05-01,null
MY-14,Wilayah Persekutuan,51.35,2020-06-01,null
MY-14,Wilayah Persekutuan,50.6,2020-07-01,null
MY-14,Wilayah Persekutuan,55.34,2020-08-01,null
MY-14,Wilayah Persekutuan,47.92,2020-09-01,null
MY-14,Wilayah Persekutuan,52.32,2020-10-01,null
MY-14,Wilayah Persekutuan,48.73,2020-11-01,null
MY-14,Wilayah Persekutuan,48.06,2020-12-01,null
MY-14,Wilayah Persekutuan,45.16,2021-01-01,null
MY-14,Wilayah Persekutuan,55.03,2021-02-01,null
MY-14,Wilayah Persekutuan,54.38,2021-03-01,null
