date,station,aqi,lat,lon,state,country
2017-05-01,Alor Setar,22.04,6.137244,100.346815,Kedah,Malaysia
2017-06-01,Alor Setar,23.8,6.137244,100.346815,Kedah,Malaysia
2017-07-01,Alor Setar,25.83,6.137244,100.346815,Kedah,Malaysia
2017-08-01,Alor Setar,21.31,6.137244,100.346815,Kedah,Malaysia
2017-09-01,Alor Setar,16.2,6.137244,100.346815,Kedah,Malaysia
2017-10-01,Alor Setar,18.07,6.137244,100.346815,Kedah,Malaysia
2017-11-01,Alor Setar,17.24,6.137244,100.346815,Kedah,Malaysia
2017-12-01,Alor Setar,24.36,6.137244,100.346815,Kedah,Malaysia
2018-01-01,Alor Setar,20.86,6.137244,100.346815,Kedah,Malaysia
2018-02-01,Alor Setar,29.56,6.137244,100.346815,Kedah,Malaysia
2018-03-01,Alor Setar,24.63,6.137244,100.346815,Kedah,Malaysia
2018-04-01,Alor Setar,23.87,6.137244,100.346815,Kedah,Malaysia
2018-05-01,Alor Setar,21.67,6.137244,100.346815,Kedah,Malaysia
2018-06-01,Alor Setar,26.1,6.137244,100.346815,Kedah,Malaysia
2018-07-01,Alor Setar,27.48,6.137244,100.346815,Kedah,Malaysia
2018-08-01,Alor Setar,43.86,6.137244,100.346815,Kedah,Malaysia
2018-09-01,Alor Setar,44.5,6.137244,100.346815,Kedah,Malaysia
2018-10-01,Alor Setar,36.05,6.137244,100.346815,Kedah,Malaysia
2018-11-01,Alor Setar,40.47,6.137244,100.346815,Kedah,Malaysia
2018-12-01,Alor Setar,37.52,6.137244,100.346815,Kedah,Malaysia
2019-01-01,Alor Setar,45.41,6.137244,100.346815,Kedah,Malaysia
2019-02-01,Alor Setar,47.65,6.137244,100.346815,Kedah,Malaysia
2019-03-01,Alor Setar,57.53,6.137244,100.346815,Kedah,Malaysia
2019-04-01,Alor Setar,50.38,6.137244,100.346815,Kedah,Malaysia
2019-05-01,Alor Setar,36.27,6.137244,100.346815,Kedah,Malaysia
2019-06-01,Alor Setar,46.05,6.137244,100.346815,Kedah,Malaysia
2019-07-01,Alor Setar,55.34,6.137244,100.346815,Kedah,Malaysia
2019-08-01,Alor Setar,53.77,6.137244,100.346815,Kedah,Malaysia
2019-09-01,Alor Setar,69.13,6.137244,100.346815,Kedah,Malaysia
2019-10-01,Alor Setar,40.75,6.137244,100.346815,Kedah,Malaysia
2019-11-01,Alor Setar,37.37,6.137244,100.346815,Kedah,Malaysia
2019-12-01,Alor Setar,43.02,6.137244,100.346815,Kedah,Malaysia
2020-01-01,Alor Setar,42.75,6.137244,100.346815,Kedah,Malaysia
2020-02-01,Alor Setar,47.18,6.137244,100.346815,Kedah,Malaysia
2020-03-01,Alor Setar,56.71,6.137244,100.346815,Kedah,Malaysia
2020-04-01,Alor Setar,40.78,6.137244,100.346815,Kedah,Malaysia
2020-05-01,Alor Setar,37.72,6.137244,100.346815,Kedah,Malaysia
2020-06-01,Alor Setar,46.38,6.137244,100.346815,Kedah,Malaysia
2020-07-01,Alor Setar,44.79,6.137244,100.346815,Kedah,Malaysia
